company,slug,salary_range,avg_hours,url
25Friday,25friday,2.947€ - 3.147€,07:55,https://pt.teamlyzer.com/companies/25friday
Closer Consulting,closer-consulting,1.347€ - 1.547€,08:03,https://pt.teamlyzer.com/companies/closer-consulting
Universidade Do Porto,universidade-do-porto,1.040€ - 1.240€,08:00,https://pt.teamlyzer.com/companies/universidade-do-porto
Mastercard,mastercard,3.620€ - 3.820€,07:45,https://pt.teamlyzer.com/companies/mastercard
Worten,worten,1.425€ - 1.625€,07:45,https://pt.teamlyzer.com/companies/worten
Vodafone,vodafone,2.134€ - 2.334€,07:54,https://pt.teamlyzer.com/companies/vodafone
Banco Bpi,banco-bpi,1.900€ - 2.100€,07:50,https://pt.teamlyzer.com/companies/banco-bpi
Itsector,itsector,1.442€ - 1.642€,08:04,https://pt.teamlyzer.com/companies/itsector
Bee Engineering Portugal,bee-engineering-portugal,1.277€ - 1.477€,08:07,https://pt.teamlyzer.com/companies/bee-engineering-portugal
Deloitte Consultores,deloitte-consultores,1.385€ - 1.585€,08:43,https://pt.teamlyzer.com/companies/deloitte-consultores
Equus Software,equus-software,4.000€ - 4.200€,08:00,https://pt.teamlyzer.com/companies/equus-software
Banco Millennium Bcp,banco-millennium-bcp,1.850€ - 2.050€,08:02,https://pt.teamlyzer.com/companies/banco-millennium-bcp
Segin,segin,1.800€ - 2.000€,08:00,https://pt.teamlyzer.com/companies/segin
Hitachi Solutions,hitachi-solutions,1.471€ - 1.671€,07:55,https://pt.teamlyzer.com/companies/hitachi-solutions
Yld,yld,4.275€ - 4.475€,07:54,https://pt.teamlyzer.com/companies/yld
Janela Digital,janela-digital,1.027€ - 1.227€,08:20,https://pt.teamlyzer.com/companies/janela-digital
Critical Software,critical-software,1.811€ - 2.011€,08:02,https://pt.teamlyzer.com/companies/critical-software
Synopsys,synopsys,1.864€ - 2.064€,08:00,https://pt.teamlyzer.com/companies/synopsys
Celfocus,celfocus,1.571€ - 1.771€,08:10,https://pt.teamlyzer.com/companies/celfocus
Arsenal Do Alfeite,arsenal-do-alfeite,,,https://pt.teamlyzer.com/companies/arsenal-do-alfeite
Rangel Logistics Solutions,rangel-logistics-solutions,3.450€ - 3.650€,08:00,https://pt.teamlyzer.com/companies/rangel-logistics-solutions
Van Ameyde Systems,van-ameyde-systems,4.400€ - 4.600€,08:00,https://pt.teamlyzer.com/companies/van-ameyde-systems
Armis,armis,1.331€ - 1.531€,08:07,https://pt.teamlyzer.com/companies/armis
Capgemini Engineering,capgemini-engineering,1.252€ - 1.452€,07:59,https://pt.teamlyzer.com/companies/capgemini-engineering
Banco De Portugal,banco-de-portugal,1.670€ - 1.870€,07:20,https://pt.teamlyzer.com/companies/banco-de-portugal
Critical Manufacturing,critical-manufacturing,1.670€ - 1.870€,08:05,https://pt.teamlyzer.com/companies/critical-manufacturing
Aumovio Engineering Solutions,aumovio-engineering-solutions,1.845€ - 2.045€,07:53,https://pt.teamlyzer.com/companies/aumovio-engineering-solutions
Associacao Nacional De Farmacias Anf,associacao-nacional-de-farmacias-anf,1.580€ - 1.780€,10:00,https://pt.teamlyzer.com/companies/associacao-nacional-de-farmacias-anf
Timwe,timwe,1.794€ - 1.994€,08:59,https://pt.teamlyzer.com/companies/timwe
Roff,roff,1.414€ - 1.614€,08:10,https://pt.teamlyzer.com/companies/roff
Prime Nearshore,prime-nearshore,2.850€ - 3.050€,08:00,https://pt.teamlyzer.com/companies/prime-nearshore
Lvmh,lvmh,,,https://pt.teamlyzer.com/companies/lvmh
Springer Nature Portugal,springer-nature-portugal,3.315€ - 3.515€,08:00,https://pt.teamlyzer.com/companies/springer-nature-portugal
Philip Morris International,philip-morris-international,4.427€ - 4.627€,07:55,https://pt.teamlyzer.com/companies/philip-morris-international
Emergn,emergn,3.050€ - 3.250€,08:00,https://pt.teamlyzer.com/companies/emergn
Kcs It,kcs-it,1.412€ - 1.612€,08:06,https://pt.teamlyzer.com/companies/kcs-it
Ericsson Portugal,ericsson-portugal,2.433€ - 2.633€,08:00,https://pt.teamlyzer.com/companies/ericsson-portugal
Leroy Merlin,leroy-merlin,2.050€ - 2.250€,08:00,https://pt.teamlyzer.com/companies/leroy-merlin
Bbdo Portugal,bbdo-portugal,,,https://pt.teamlyzer.com/companies/bbdo-portugal
Retail Consult,retail-consult,1.255€ - 1.455€,08:37,https://pt.teamlyzer.com/companies/retail-consult
Act Digital Em Portugal,act-digital-em-portugal,1.720€ - 1.920€,08:04,https://pt.teamlyzer.com/companies/act-digital-em-portugal
Microsoft Portugal,microsoft-portugal,2.967€ - 3.167€,07:56,https://pt.teamlyzer.com/companies/microsoft-portugal
Vestas,vestas,2.064€ - 2.264€,07:31,https://pt.teamlyzer.com/companies/vestas
Argon,argon,,,https://pt.teamlyzer.com/companies/argon
Mercedes Benz Io,mercedes-benz-io,2.796€ - 2.996€,07:56,https://pt.teamlyzer.com/companies/mercedes-benz-io
Wunderman Lisboa,wunderman-lisboa,,,https://pt.teamlyzer.com/companies/wunderman-lisboa
Saltpay,saltpay,4.057€ - 4.257€,08:36,https://pt.teamlyzer.com/companies/saltpay
Avanade,avanade,1.676€ - 1.876€,08:30,https://pt.teamlyzer.com/companies/avanade
Miniclip Games,miniclip-games,2.410€ - 2.610€,08:00,https://pt.teamlyzer.com/companies/miniclip-games
Prozis,prozis,1.545€ - 1.745€,07:58,https://pt.teamlyzer.com/companies/prozis
Amplitude Net,amplitude-net,,,https://pt.teamlyzer.com/companies/amplitude-net
Onfido Background Checks,onfido-background-checks,4.055€ - 4.255€,07:30,https://pt.teamlyzer.com/companies/onfido-background-checks
company,slug,salary_range,avg_hours,url
Capgemini Engineering,capgemini-engineering,1.252€ - 1.452€,07:59,https://pt.teamlyzer.com/companies/capgemini-engineering
Yonderland,yonderland,,,https://pt.teamlyzer.com/companies/yonderland
New Work Portugal,new-work-portugal,2.833€ - 3.033€,07:45,https://pt.teamlyzer.com/companies/new-work-portugal
Outsystems,outsystems,2.412€ - 2.612€,07:57,https://pt.teamlyzer.com/companies/outsystems
Farfetch,farfetch,2.354€ - 2.554€,07:53,https://pt.teamlyzer.com/companies/farfetch
Deloitte Consultores,deloitte-consultores,1.387€ - 1.587€,08:43,https://pt.teamlyzer.com/companies/deloitte-consultores
Randstad Technologies Portugal,randstad-technologies-portugal,1.090€ - 1.290€,08:02,https://pt.teamlyzer.com/companies/randstad-technologies-portugal
Talkdesk,talkdesk,2.316€ - 2.516€,07:48,https://pt.teamlyzer.com/companies/talkdesk
Feedzai,feedzai,2.146€ - 2.346€,08:07,https://pt.teamlyzer.com/companies/feedzai
Mcoutinho,mcoutinho,,,https://pt.teamlyzer.com/companies/mcoutinho
Accenture Portugal,accenture-portugal,1.531€ - 1.731€,08:47,https://pt.teamlyzer.com/companies/accenture-portugal
Toogas,toogas,1.200€ - 1.400€,02:13,https://pt.teamlyzer.com/companies/toogas
Natixis,natixis,2.012€ - 2.212€,07:54,https://pt.teamlyzer.com/companies/natixis
Avanade,avanade,1.676€ - 1.876€,08:30,https://pt.teamlyzer.com/companies/avanade
Pdmfc,pdmfc,1.318€ - 1.518€,08:04,https://pt.teamlyzer.com/companies/pdmfc
Noesis Portugal,noesis-portugal,1.334€ - 1.534€,08:04,https://pt.teamlyzer.com/companies/noesis-portugal
Olx Group,olx-group,3.044€ - 3.244€,07:50,https://pt.teamlyzer.com/companies/olx-group
Vtxrm,vtxrm,1.531€ - 1.731€,08:07,https://pt.teamlyzer.com/companies/vtxrm
Critical Techworks,critical-techworks,2.225€ - 2.425€,07:49,https://pt.teamlyzer.com/companies/critical-techworks
Emagine Portugal,emagine-portugal,2.750€ - 2.950€,07:52,https://pt.teamlyzer.com/companies/emagine-portugal
Nokia Networks Portugal,nokia-networks-portugal,2.000€ - 2.200€,07:57,https://pt.teamlyzer.com/companies/nokia-networks-portugal
Capgemini Portugal,capgemini-portugal,1.422€ - 1.622€,08:11,https://pt.teamlyzer.com/companies/capgemini-portugal
Devoteam Portugal,devoteam-portugal,1.678€ - 1.878€,08:01,https://pt.teamlyzer.com/companies/devoteam-portugal
Bjss,bjss,2.983€ - 3.183€,07:51,https://pt.teamlyzer.com/companies/bjss
Kuehne Nagel,kuehne-nagel,3.226€ - 3.426€,07:51,https://pt.teamlyzer.com/companies/kuehne-nagel
Onfido Background Checks,onfido-background-checks,4.055€ - 4.255€,07:30,https://pt.teamlyzer.com/companies/onfido-background-checks
Wrightia,wrightia,2.275€ - 2.475€,08:00,https://pt.teamlyzer.com/companies/wrightia
Mercedes Benz Io,mercedes-benz-io,2.796€ - 2.996€,07:56,https://pt.teamlyzer.com/companies/mercedes-benz-io
Edp Electricidade De Portugal,edp-electricidade-de-portugal,1.728€ - 1.928€,07:50,https://pt.teamlyzer.com/companies/edp-electricidade-de-portugal
Revolut,revolut,4.589€ - 4.789€,08:40,https://pt.teamlyzer.com/companies/revolut
Aubay,aubay,1.954€ - 2.154€,07:58,https://pt.teamlyzer.com/companies/aubay
Contisystems,contisystems,2.000€ - 2.200€,00:25,https://pt.teamlyzer.com/companies/contisystems
Wit Software,wit-software,2.047€ - 2.247€,08:11,https://pt.teamlyzer.com/companies/wit-software
Euronext S Technology Centre Portugal,euronext-s-technology-centre-portugal,1.685€ - 1.885€,08:30,https://pt.teamlyzer.com/companies/euronext-s-technology-centre-portugal
Hitachi Solutions,hitachi-solutions,1.533€ - 1.733€,07:55,https://pt.teamlyzer.com/companies/hitachi-solutions
Fedrax,fedrax,,,https://pt.teamlyzer.com/companies/fedrax
Nmbrs Bv,nmbrs-bv,2.857€ - 3.057€,07:40,https://pt.teamlyzer.com/companies/nmbrs-bv
Ceiia Engineering And Innovation Centre,ceiia-engineering-and-innovation-centre,1.859€ - 2.059€,07:46,https://pt.teamlyzer.com/companies/ceiia-engineering-and-innovation-centre
Bitmind,bitmind,,,https://pt.teamlyzer.com/companies/bitmind
Fuel,fuel,,,https://pt.teamlyzer.com/companies/fuel
Novabase,novabase,1.351€ - 1.551€,08:04,https://pt.teamlyzer.com/companies/novabase
Brisa Inovacao,brisa-inovacao,1.700€ - 1.900€,08:00,https://pt.teamlyzer.com/companies/brisa-inovacao
Act Digital Em Portugal,act-digital-em-portugal,1.720€ - 1.920€,08:04,https://pt.teamlyzer.com/companies/act-digital-em-portugal
Grafipronto,grafipronto,,,https://pt.teamlyzer.com/companies/grafipronto
Aumovio Engineering Solutions,aumovio-engineering-solutions,1.845€ - 2.045€,07:53,https://pt.teamlyzer.com/companies/aumovio-engineering-solutions
Bbdo Portugal,bbdo-portugal,,,https://pt.teamlyzer.com/companies/bbdo-portugal
Softinsa,softinsa,1.117€ - 1.317€,08:09,https://pt.teamlyzer.com/companies/softinsa
Maeil,maeil,,,https://pt.teamlyzer.com/companies/maeil
Inetum,inetum,1.464€ - 1.664€,07:58,https://pt.teamlyzer.com/companies/inetum
Iqvia,iqvia,1.580€ - 1.780€,07:30,https://pt.teamlyzer.com/companies/iqvia
Parfois,parfois,960€ - 1.160€,08:30,https://pt.teamlyzer.com/companies/parfois
Tripadvisor,tripadvisor,4.314€ - 4.514€,08:05,https://pt.teamlyzer.com/companies/tripadvisor
Oracle,oracle,3.212€ - 3.412€,07:37,https://pt.teamlyzer.com/companies/oracle
Mypartner,mypartner,1.325€ - 1.525€,08:00,https://pt.teamlyzer.com/companies/mypartner
Vision Box,vision-box,1.921€ - 2.121€,08:21,https://pt.teamlyzer.com/companies/vision-box
Kyntech Services,kyntech-services,776€ - 976€,08:15,https://pt.teamlyzer.com/companies/kyntech-services
Closer Consulting,closer-consulting,1.347€ - 1.547€,08:03,https://pt.teamlyzer.com/companies/closer-consulting
Pandadoc,pandadoc,4.438€ - 4.638€,08:07,https://pt.teamlyzer.com/companies/pandadoc
Leonteq,leonteq,3.150€ - 3.350€,08:00,https://pt.teamlyzer.com/companies/leonteq
Comon,comon,,,https://pt.teamlyzer.com/companies/comon
Truphone,truphone,2.850€ - 3.050€,08:15,https://pt.teamlyzer.com/companies/truphone
Claranet Portugal,claranet-portugal,1.608€ - 1.808€,08:00,https://pt.teamlyzer.com/companies/claranet-portugal
Consort Group,consort-group,4.366€ - 4.566€,08:00,https://pt.teamlyzer.com/companies/consort-group
Faurecia,faurecia,1.533€ - 1.733€,07:45,https://pt.teamlyzer.com/companies/faurecia
Kinetit,kinetit,1.180€ - 1.380€,08:00,https://pt.teamlyzer.com/companies/kinetit
Onesource,onesource,1.060€ - 1.260€,08:21,https://pt.teamlyzer.com/companies/onesource
Evs Broadcast Equipment,evs-broadcast-equipment,1.480€ - 1.680€,08:00,https://pt.teamlyzer.com/companies/evs-broadcast-equipment
Axa,axa,1.540€ - 1.740€,08:00,https://pt.teamlyzer.com/companies/axa
